uf,municipality,ibge_code,operator,source_subtype,feedstock,consumption_class,consumer_type,porte,elec_capacity_kw,connection_date,lat,lon,sector,data_confidence,source_name,source_url,dup_group_size
MG,Coromandel,3119302,(redacted),Biogás - RA,animal_manure_agro,Rural,PF,Minigeracao,200.0,,-18.61,-47.06,electricity_gd,primary,ANEEL Geração Distribuída (Dados Abertos),https://dadosabertos.aneel.gov.br/dataset/relacao-de-empreendimentos-de-geracao-distribuida,2
MG,Coromandel,3119302,(redacted),Biogás - RA,animal_manure_agro,Rural,PF,Minigeracao,200.0,,-18.61,-47.06,electricity_gd,primary,ANEEL Geração Distribuída (Dados Abertos),https://dadosabertos.aneel.gov.br/dataset/relacao-de-empreendimentos-de-geracao-distribuida,2
MG,Coromandel,3119302,CONSORCIO DE GERACAO COMP ENERGIA VERDE,Biogás - RA,animal_manure_agro,Rural,PJ,Minigeracao,75.2,,-18.55,-47.14,electricity_gd,primary,ANEEL Geração Distribuída (Dados Abertos),https://dadosabertos.aneel.gov.br/dataset/relacao-de-empreendimentos-de-geracao-distribuida,1
MG,Coromandel,3119302,CONSORCIO DE GERACAO COMP ENERGIA VERDE,Biogás - RU,msw_landfill,Rural,PJ,Microgeracao,72.0,,-18.65,-47.03,electricity_gd,primary,ANEEL Geração Distribuída (Dados Abertos),https://dadosabertos.aneel.gov.br/dataset/relacao-de-empreendimentos-de-geracao-distribuida,1
MG,Curvelo,3120904,(redacted),Biogás - RA,animal_manure_agro,Rural,PF,Minigeracao,200.0,,-18.98,-44.27,electricity_gd,primary,ANEEL Geração Distribuída (Dados Abertos),https://dadosabertos.aneel.gov.br/dataset/relacao-de-empreendimentos-de-geracao-distribuida,1
MG,Elói Mendes,3123601,(redacted),Biogás - RA,animal_manure_agro,Rural,PF,Microgeracao,75.0,,-21.68,-45.57,electricity_gd,primary,ANEEL Geração Distribuída (Dados Abertos),https://dadosabertos.aneel.gov.br/dataset/relacao-de-empreendimentos-de-geracao-distribuida,1
MG,Esmeraldas,3124104,(redacted),Biogás - Floresta,forestry_residues,Rural,PF,Microgeracao,60.0,,-19.79,-44.31,electricity_gd,primary,ANEEL Geração Distribuída (Dados Abertos),https://dadosabertos.aneel.gov.br/dataset/relacao-de-empreendimentos-de-geracao-distribuida,1
MG,Formiga,3126109,(redacted),Biogás - RA,animal_manure_agro,Rural,PF,Microgeracao,75.0,,-20.55,-45.64,electricity_gd,primary,ANEEL Geração Distribuída (Dados Abertos),https://dadosabertos.aneel.gov.br/dataset/relacao-de-empreendimentos-de-geracao-distribuida,1
MG,Formiga,3126109,AMIDOS PADRE TRINDADE LTDA,Biogás - RA,animal_manure_agro,Rural,PJ,Microgeracao,75.0,,-20.42,-45.38,electricity_gd,primary,ANEEL Geração Distribuída (Dados Abertos),https://dadosabertos.aneel.gov.br/dataset/relacao-de-empreendimentos-de-geracao-distribuida,1
MG,Formiga,3126109,ATIVA GESTAO DE NEGOCIOS S A,Biogás - RA,animal_manure_agro,Rural,PJ,Microgeracao,69.76,,-20.35,-45.46,electricity_gd,primary,ANEEL Geração Distribuída (Dados Abertos),https://dadosabertos.aneel.gov.br/dataset/relacao-de-empreendimentos-de-geracao-distribuida,1
MG,Guarará,3128501,(redacted),Biogás - RA,animal_manure_agro,Rural,PF,Minigeracao,264.0,,-21.81,-43.01,electricity_gd,primary,ANEEL Geração Distribuída (Dados Abertos),https://dadosabertos.aneel.gov.br/dataset/relacao-de-empreendimentos-de-geracao-distribuida,1
MG,Inimutaba,3131109,(redacted),Biogás - RU,msw_landfill,Rural,PF,Microgeracao,75.0,,-18.65,-44.32,electricity_gd,primary,ANEEL Geração Distribuída (Dados Abertos),https://dadosabertos.aneel.gov.br/dataset/relacao-de-empreendimentos-de-geracao-distribuida,2
MG,Inimutaba,3131109,(redacted),Biogás - RU,msw_landfill,Rural,PF,Microgeracao,75.0,,-18.65,-44.32,electricity_gd,primary,ANEEL Geração Distribuída (Dados Abertos),https://dadosabertos.aneel.gov.br/dataset/relacao-de-empreendimentos-de-geracao-distribuida,2
MG,Iraí de Minas,3131604,(redacted),Biogás - RA,animal_manure_agro,Rural,PF,Minigeracao,75.2,,-19.05,-47.48,electricity_gd,primary,ANEEL Geração Distribuída (Dados Abertos),https://dadosabertos.aneel.gov.br/dataset/relacao-de-empreendimentos-de-geracao-distribuida,1
MG,Itaguara,3132206,(redacted),Biogás - RA,animal_manure_agro,Rural,PF,Microgeracao,75.0,,-20.38,-44.49,electricity_gd,primary,ANEEL Geração Distribuída (Dados Abertos),https://dadosabertos.aneel.gov.br/dataset/relacao-de-empreendimentos-de-geracao-distribuida,1
MG,Itapecerica,3133501,(redacted),Biogás - RA,animal_manure_agro,Rural,PF,Microgeracao,75.0,,-20.41,-45.07,electricity_gd,primary,ANEEL Geração Distribuída (Dados Abertos),https://dadosabertos.aneel.gov.br/dataset/relacao-de-empreendimentos-de-geracao-distribuida,1
MG,Ituiutaba,3134202,(redacted),Biogás - RA,animal_manure_agro,Rural,PF,Minigeracao,75.2,,-18.95,-49.5,electricity_gd,primary,ANEEL Geração Distribuída (Dados Abertos),https://dadosabertos.aneel.gov.br/dataset/relacao-de-empreendimentos-de-geracao-distribuida,1
MG,Jequeri,3135506,(redacted),Biogás-AGR,agricultural_residues,Rural,PF,Minigeracao,200.0,,-20.36,-42.68,electricity_gd,primary,ANEEL Geração Distribuída (Dados Abertos),https://dadosabertos.aneel.gov.br/dataset/relacao-de-empreendimentos-de-geracao-distribuida,1
MG,Jequeri,3135506,(redacted),Biogás - RA,animal_manure_agro,Rural,PF,Minigeracao,200.0,,-20.36,-42.67,electricity_gd,primary,ANEEL Geração Distribuída (Dados Abertos),https://dadosabertos.aneel.gov.br/dataset/relacao-de-empreendimentos-de-geracao-distribuida,1
MG,Jequeri,3135506,(redacted),Biogás - RA,animal_manure_agro,Rural,PF,Minigeracao,128.0,,-20.41,-42.66,electricity_gd,primary,ANEEL Geração Distribuída (Dados Abertos),https://dadosabertos.aneel.gov.br/dataset/relacao-de-empreendimentos-de-geracao-distribuida,1
MG,Jequeri,3135506,(redacted),Biogás - RA,animal_manure_agro,Rural,PF,Minigeracao,98.44,,-20.42,-42.66,electricity_gd,primary,ANEEL Geração Distribuída (Dados Abertos),https://dadosabertos.aneel.gov.br/dataset/relacao-de-empreendimentos-de-geracao-distribuida,1
MG,Jequeri,3135506,(redacted),Biogás-AGR,agricultural_residues,Rural,PF,Minigeracao,96.0,,-20.38,-42.67,electricity_gd,primary,ANEEL Geração Distribuída (Dados Abertos),https://dadosabertos.aneel.gov.br/dataset/relacao-de-empreendimentos-de-geracao-distribuida,1
MG,Jequeri,3135506,(redacted),Biogás - RA,animal_manure_agro,Rural,PF,Minigeracao,96.0,,-20.44,-42.61,electricity_gd,primary,ANEEL Geração Distribuída (Dados Abertos),https://dadosabertos.aneel.gov.br/dataset/relacao-de-empreendimentos-de-geracao-distribuida,1
MG,Jequeri,3135506,(redacted),Biogás-AGR,agricultural_residues,Rural,PF,Minigeracao,95.92,,-20.41,-42.66,electricity_gd,primary,ANEEL Geração Distribuída (Dados Abertos),https://dadosabertos.aneel.gov.br/dataset/relacao-de-empreendimentos-de-geracao-distribuida,1
