CodGeracaoDistribuida;NomTitularEmpreendimento;SigUF;NomMunicipio;CodMunicipioIbge;DscFonteGeracao;DscClasseConsumo;SigTipoConsumidor;DscPorte;MdaPotenciaInstaladaKW;DatConexao;NumCoordNEmpreendimento;NumCoordEEmpreendimento
;***;MG;Corinto;3119104;Biogás - RA;Rural;PF;Minigeracao;96,00;;-18,34;-44,59
;CONSORCIO DE GERACAO COMP ENERGIA VERDE;MG;Coromandel;3119302;Biogás - RA;Rural;PJ;Minigeracao;75,20;;-18,55;-47,14
;COOPERATIVA BRASILEIRA DE ACESSO;MG;São José da Varginha;3163102;Biogás - RA;Rural;PJ;Microgeracao;75,00;;-19,78;-44,58
;***;MG;Jequeri;3135506;Biogás - RA;Rural;PF;Minigeracao;200,00;;-20,36;-42,67
;***;MG;Pará de Minas;3147105;Biogás - RA;Rural;PF;Minigeracao;120,00;;-19,85;-44,56
;***;MG;Piedade de Ponte Nova;3150208;Biogás - RA;Rural;PF;Minigeracao;264,00;;-20,24;-42,72
;***;MG;Santa Vitória;3159803;Biogás - RA;Rural;PF;Minigeracao;500,00;;-18,98;-50,17
;***;MG;Raul Soares;3154002;Biogás - RA;Rural;PF;Minigeracao;200,00;;-20,13;-42,47
;***;MG;Curvelo;3120904;Biogás - RA;Rural;PF;Minigeracao;200,00;;-18,98;-44,27
;***;MG;Piranga;3150802;Biogás - RA;Rural;PF;Microgeracao;75,00;;-20,71;-43,19
;***;MG;Patos de Minas;3148004;Biogás - RA;Rural;PF;Microgeracao;50,00;;-18,79;-46,68
;***;MG;Esmeraldas;3124104;Biogás - Floresta;Rural;PF;Microgeracao;60,00;;-19,79;-44,31
;***;MG;Urucânia;3170503;Biogás - RA;Rural;PF;Microgeracao;75,00;;-20,32;-42,75
;***;MG;Urucânia;3170503;Biogás - RA;Rural;PF;Microgeracao;75,00;;-20,36;-42,72
;***;MG;Pará de Minas;3147105;Biogás - RU;Rural;PF;Microgeracao;60,00;;-19,82;-44,65
;***;MG;Paiva;3146602;Biogás - RU;Rural;PF;Microgeracao;20,00;;-21,30;-43,40
;***;MG;Jequeri;3135506;Biogás - RA;Rural;PF;Microgeracao;15,00;;-20,38;-42,67
;***;MG;Inimutaba;3131109;Biogás - RU;Rural;PF;Microgeracao;75,00;;-18,65;-44,32
;***;MG;Pará de Minas;3147105;Biogás - RU;Rural;PF;Microgeracao;75,00;;-19,80;-44,64
;***;MG;Pará de Minas;3147105;Biogás - RU;Rural;PF;Microgeracao;75,00;;-19,80;-44,64
;***;MG;Pará de Minas;3147105;Biogás - RU;Rural;PF;Microgeracao;75,00;;-19,87;-44,73
;***;MG;Pará de Minas;3147105;Biogás - RA;Rural;PF;Minigeracao;250,00;;-19,80;-44,64
;***;MG;Pará de Minas;3147105;Biogás - RU;Rural;PF;Microgeracao;75,00;;-19,80;-44,64
;***;MG;Araguari;3103504;Biogás - RA;Rural;PF;Microgeracao;75,00;;-18,51;-48,46
;***;MG;Pará de Minas;3147105;Biogás - RU;Rural;PF;Microgeracao;75,00;;-19,77;-44,69
;***;MG;Coromandel;3119302;Biogás - RA;Rural;PF;Minigeracao;200,00;;-18,61;-47,06
;***;MG;Inimutaba;3131109;Biogás - RU;Rural;PF;Microgeracao;75,00;;-18,65;-44,32
;***;MG;Pequi;3149606;Biogás - RU;Rural;PF;Minigeracao;78,00;;-19,64;-44,60
;***;MG;Perdizes;3149804;Biogás - RA;Rural;PF;Minigeracao;225,00;;-19,43;-47,10
;***;MG;São José da Varginha;3163102;Biogás - Floresta;Rural;PF;Microgeracao;75,00;;-19,78;-44,58
;FAZENDA SERTAOZINHO LTDA;MG;Botelhos;3108404;Biogás - RA;Rural;PJ;Microgeracao;75,00;;-21,63;-46,34
;***;MG;São José da Varginha;3163102;Biogás - RU;Rural;PF;Microgeracao;75,00;;-19,78;-44,59
;***;MG;Pará de Minas;3147105;Biogás - RU;Rural;PF;Microgeracao;75,00;;-19,81;-44,64
;***;MG;Pequi;3149606;Biogás - RU;Rural;PF;Microgeracao;75,00;;-19,64;-44,60
;CONSORCIO VALE VERDE ENERGIA LIMPA;MG;Ponte Nova;3152105;Biogás - RA;Rural;PJ;Microgeracao;75,00;;-20,44;-42,85
