CodGeracaoDistribuida;NomTitularEmpreendimento;SigUF;NomMunicipio;CodMunicipioIbge;DscFonteGeracao;DscClasseConsumo;SigTipoConsumidor;DscPorte;MdaPotenciaInstaladaKW;DatConexao;NumCoordNEmpreendimento;NumCoordEEmpreendimento
;Hortigil Hortifruti S.A;RJ;Barra Mansa;3300407;Biogás - RU;Comercial;PJ;Minigeracao;1000,00;;-22,45;-44,30
;TELEFONICA BRASIL S A;RJ;São Pedro da Aldeia;3305208;Biogás - RU;Industrial;PJ;Minigeracao;1429,20;;-22,75;-42,14
;LOJAS AMERICANAS S A;RJ;Rio de Janeiro;3304557;Biogás - RU;Comercial;PJ;Minigeracao;1000,00;;-22,96;-43,20
;Claro S.A - We Trust In Sustainable Energy;RJ;Rio de Janeiro;3304557;Biogás - RU;Comercial;PJ;Minigeracao;4998,40;;-22,96;-43,20
;BANCO SANTANDER BRASIL S A;RJ;Rio de Janeiro;3304557;Biogás - RU;Comercial;PJ;Minigeracao;1000,00;;-22,82;-43,19
;CONSORCIO EVA SEROPEDICA ENERGIA DE GERAÇÃO;RJ;Seropédica;3305554;Biogás - RU;Industrial;PJ;Minigeracao;4999,28;;-22,79;-43,76
;TELEFONICA BRASIL S A;RJ;Paracambi;3303609;Biogás - RU;Comercial;PJ;Minigeracao;270,00;;-22,63;-43,68
;***;RO;São Miguel do Guaporé;1100320;Biogás - RA;Rural;PF;Microgeracao;75,00;;-11,68;-62,66
;***;RO;Cacoal;1100049;Biogás-AGR;Rural;PF;Minigeracao;90,00;;-11,29;-61,33
;IRMAOS GONCALVES COMERCIO E INDUSTRIA LTDA;RO;Ji-Paraná;1100122;Biogás-AGR;Comercial;PJ;Minigeracao;2400,00;;-10,87;-61,96
;***;RS;Salvador do Sul;4316501;Biogás - RA;Rural;PF;Minigeracao;90,00;;-29,46;-51,51
;***;RS;Catuípe;4305009;Biogás-AGR;Rural;PF;Minigeracao;77,00;;-28,15;-54,14
;***;RS;Pinhal;4314456;Biogás - RA;Rural;PF;Microgeracao;74,26;;-27,53;-53,22
;***;RS;Santo Cristo;4317905;Biogás - RA;Rural;PF;Microgeracao;73,26;;-27,81;-54,61
;BANCO SANTANDER BRASIL S A;RS;Candiota;4304358;Biogás - RU;Comercial;PJ;Minigeracao;999,00;;-31,49;-53,74
;SIM REDE DE POSTOS LTDA;RS;Candiota;4304358;Biogás - RU;Comercial;PJ;Minigeracao;999,00;;-31,49;-53,74
;***;RS;Canguçu;4304507;Biogás-AGR;Rural;PF;Microgeracao;72,00;;-31,23;-52,62
;***;RS;Rodeio Bonito;4315909;Biogás - RA;Rural;PF;Minigeracao;87,20;;-27,46;-53,19
;***;RS;Frederico Westphalen;4308508;Biogás - RA;Rural;PF;Microgeracao;48,00;;-27,30;-53,34
;***;RS;Giruá;4309001;Biogás - RA;Rural;PF;Microgeracao;54,40;;-27,92;-54,40
;***;RS;Santa Rosa;4317202;Biogás - RA;Rural;PF;Microgeracao;74,24;;-28,15;-55,45
;PINUS BOM JESUS INDUSTRIA E;RS;Bom Jesus;4302303;Biogás - Floresta;Comercial;PJ;Minigeracao;2850,40;;-28,55;-50,39
;Coop. dos Citr. Ecol. Do Vale do Caí LTDA;RS;Montenegro;4312401;Biogás-AGR;Industrial;PJ;Minigeracao;294,00;;-29,69;-51,54
;***;RS;Santo Cristo;4317905;Biogás - RA;Rural;PF;Microgeracao;74,25;;-27,82;-54,74
;***;RS;Seberi;4320206;Biogás - RA;Rural;PF;Minigeracao;77,60;;-27,50;-53,38
;***;RS;Santo Cristo;4317905;Biogás - RA;Rural;PF;Microgeracao;74,40;;-27,86;-54,61
;***;RS;Charrua;4305371;Biogás - RA;Rural;PF;Microgeracao;74,25;;-27,94;-51,98
;***;RS;Cerro Largo;4305207;Biogás-AGR;Rural;PF;Microgeracao;69,00;;-28,06;-54,76
;***;RS;Santo Cristo;4317905;Biogás - RA;Rural;PF;Microgeracao;73,26;;-27,98;-54,65
;COOPERATIVA BRASILEIRA DE GERACAO DISTRIBUIDA;RS;Tapera;4321006;Biogás - RA;Comercial;PJ;Minigeracao;460,80;;-28,64;-52,78
;***;RS;Teutônia;4321451;Biogás - RA;Rural;PF;Minigeracao;84,15;;-29,45;-51,67
;***;RS;Paverama;4314159;Biogás - RA;Rural;PF;Microgeracao;52,00;;-29,52;-51,77
;BIOTERMICA ENERGIA S.A.;RS;São Leopoldo;4318705;Biogás - RU;Comercial;PJ;Minigeracao;920,00;;-30,26;-52,81
;***;RS;Água Santa;4300059;Biogás - RA;Rural;PF;Minigeracao;190,40;;-28,13;-52,07
;***;RS;Cristal do Sul;4306072;Biogás - RA;Rural;PF;Microgeracao;74,26;;-27,43;-53,25
;***;SC;Vargeão;4219101;Biogás - RA;Rural;PF;Microgeracao;75,00;;-26,83;-52,13
;***;SC;Ipuaçu;4207684;Biogás - RA;Rural;PF;Microgeracao;39,60;;-26,60;-52,44
;***;SC;Entre Rios;4205175;Biogás - RA;Rural;PF;Microgeracao;62,40;;-26,70;-52,57
;***;SC;São Carlos;4216008;Biogás - RA;Rural;PF;Microgeracao;34,00;;-27,01;-53,06
;***;SC;Seara;4217501;Biogás - RA;Rural;PF;Microgeracao;75,00;;-27,13;-52,37
;Maiale Carnes Suínas;SC;Chapecó;4204202;Biogás - RA;Industrial;PJ;Minigeracao;90,00;;-27,08;-52,64
;***;SC;Chapecó;4204202;Biogás - RA;Industrial;PF;Microgeracao;60,00;;-27,08;-52,64
;***;SC;Jaguaruna;4208807;Biogás - Floresta;Comercial;PF;Microgeracao;75,00;;-28,63;-49,03
;Agroter Agropecuária & Ferragem Ltda;SC;Marema;4210555;Biogás - RA;Rural;PJ;Microgeracao;75,00;;-26,83;-52,62
;MASTER AGROINDUSTRIAL LTDA;SC;Videira;4219309;Biogás - RA;Industrial;PJ;Minigeracao;400,00;;-27,04;-51,11
;***;SC;Xanxerê;4219507;Biogás - RA;Rural;PF;Microgeracao;75,00;;-26,92;-52,45
;***;SC;Braço do Norte;4202800;Biogás - RU;Rural;PF;Microgeracao;11,04;;-28,21;-49,09
;***;SC;Cunhataí;4204756;Biogás - RA;Rural;PF;Microgeracao;64,00;;-26,98;-53,10
;***;SC;Cunha Porã;4204707;Biogás - RA;Rural;PF;Minigeracao;75,20;;-26,90;-53,13
;***;SC;São Carlos;4216008;Biogás - RA;Rural;PF;Microgeracao;74,25;;-27,00;-53,07
;***;SC;Xanxerê;4219507;Biogás - RA;Rural;PF;Microgeracao;73,60;;-26,90;-52,42
;***;SC;Blumenau;4202404;Biogás - RA;Industrial;PF;Minigeracao;183,60;;-26,76;-49,10
;COOPERATIVA REGIONAL AGROPECUARIA DE CAMPOS NOVOS COPERCAMPOS;SC;Santa Cecília;4215505;Biogás - RA;Rural;PJ;Microgeracao;67,20;;-26,91;-50,46
;***;SC;Faxinal dos Guedes;4205308;Biogás - RA;Rural;PF;Microgeracao;73,26;;-26,87;-52,25
;***;SC;Faxinal dos Guedes;4205308;Biogás - RA;Rural;PF;Microgeracao;74,40;;-26,85;-52,21
;COOPERATIVA REGIONAL AGROPECUARIA DE CAMPOS NOVOS;SC;Campos Novos;4203600;Biogás - RA;Rural;PJ;Minigeracao;176,00;;-27,47;-51,22
;***;SC;Xavantina;4219606;Biogás - RA;Rural;PF;Minigeracao;75,60;;-27,07;-52,32
;***;SC;Descanso;4204905;Biogás - RA;Rural;PF;Minigeracao;85,00;;-26,80;-53,52
;***;SC;Itapiranga;4208401;Biogás - RA;Rural;PF;Microgeracao;75,00;;-27,17;-53,57
;***;SC;Guaraciaba;4206405;Biogás - RA;Rural;PF;Microgeracao;75,00;;-26,54;-53,58
;***;SC;Palma Sola;4212007;Biogás - RA;Rural;PF;Microgeracao;75,00;;-26,34;-53,29
;***;SC;Barra Bonita;4202099;Biogás - RA;Rural;PF;Microgeracao;73,26;;-26,66;-53,42
;COOPERATIVA SUSTENTAVEL DE ENERGIAS RENOVAVEIS - COOPER SUSTENTAVEL;SC;Jaguaruna;4208807;Biogás - RA;Comercial;PJ;Microgeracao;75,00;;-28,65;-49,05
;***;SC;Guaraciaba;4206405;Biogás - RA;Rural;PF;Microgeracao;74,40;;-26,62;-53,52
;COMPENSADOS FUCK LTDA;SC;Três Barras;4218301;Biogás - RA;Industrial;PJ;Minigeracao;500,00;;-26,15;-50,32
;***;SC;Sul Brasil;4217758;Biogás - RA;Rural;PF;Microgeracao;24,75;;-26,67;-52,97
;***;SC;Cunha Porã;4204707;Biogás - RA;Rural;PF;Microgeracao;39,60;;-26,88;-53,17
;***;SC;Coronel Freitas;4204400;Biogás - RA;Residencial;PF;Microgeracao;35,20;;-26,90;-52,73
;***;SC;Guaraciaba;4206405;Biogás - RA;Rural;PF;Microgeracao;74,80;;-26,55;-53,58
;***;SC;Tunápolis;4218756;Biogás - RA;Rural;PF;Microgeracao;74,80;;-27,03;-53,64
;***;SC;Xanxerê;4219507;Biogás - RA;Rural;PF;Microgeracao;60,00;;-26,88;-52,46
;***;SC;Xanxerê;4219507;Biogás - RU;Rural;PF;Minigeracao;168,00;;-26,15;-52,62
;***;SC;Xanxerê;4219507;Biogás - RA;Rural;PF;Microgeracao;74,69;;-26,85;-52,35
;***;SC;Caibi;4203105;Biogás - RA;Rural;PF;Minigeracao;115,20;;-26,96;-53,22
;***;SC;Pouso Redondo;4213708;Biogás-AGR;Rural;PF;Microgeracao;74,40;;-27,31;-49,91
;AGRIC ADUBOS E GESTAO DE RESIDUOS INDUSTRIAIS E COMERCIAIS S.A.;SC;Campos Novos;4203600;Biogás-AGR;Industrial;PJ;Minigeracao;1141,60;;-27,35;-51,34
;***;SC;Arabutã;4201273;Biogás - RA;Industrial;PF;Minigeracao;287,10;;-27,14;-52,12
;***;SC;Pouso Redondo;4213708;Biogás-AGR;Rural;PF;Microgeracao;74,40;;-27,21;-49,97
;COOPERATIVA DE GERACAO DISTRIBUIDA ENERGIA;SC;Mafra;4210100;Biogás - Floresta;Comercial;PJ;Minigeracao;2200,00;;-26,18;-49,88
;DAISE APARECIDA CANCIAN BRESSIANI E OUTR;SP;Elias Fausto;3514908;Biogás - RA;Rural;PJ;Microgeracao;74,00;;-23,07;-47,37
;JOSE LEMO;SP;Monte Azul Paulista;3531506;Biogás - RA;Rural;PJ;Microgeracao;75,00;;-20,93;-48,70
;FENIX COLINA PARTICIPACOES E EMPREENDIMENTOS LTDA.;SP;Colina;3512001;Biogás - RA;Rural;PJ;Microgeracao;74,26;;-20,67;-48,50
;Eliano Antunes de Oliveira;SP;Coronel Macedo;3512605;Biogás - RA;Rural;PJ;Microgeracao;74,26;;-23,66;-49,25
;PAULO PELLICCI E OUTROS;SP;São Manuel;3550100;Biogás - RA;Comercial;PJ;Minigeracao;87,20;;-22,72;-48,55
;JOSE VALENTIM CASARIN;SP;Piracicaba;3538709;Biogás - RA;Rural;PJ;Microgeracao;74,40;;-22,86;-47,78
;Gaswatt Energi;SP;São Paulo;3550308;Biogás - RU;Comercial;PJ;Minigeracao;3150,00;;-23,63;-46,46
;WALDOMIRO APARECIDO PASTORI;SP;Torrinha;3554706;Biogás - RA;Rural;PJ;Minigeracao;150,40;;-22,45;-48,16
;RENATO RAPPA;SP;Itatiba;3523404;Biogás - RU;Rural;PJ;Minigeracao;96,00;;-23,00;-46,84
;FENIX COLINA PARTICIPACOES;SP;Colina;3512001;Biogás - RA;Rural;PJ;Minigeracao;75,20;;-20,73;-48,60
;MARCO ANTONIO GUARDABAXO;SP;São José do Rio Pardo;3549706;Biogás - RA;Rural;PJ;Minigeracao;96,00;;-21,55;-46,83
;MARCO ANTONIO GUARDABAXO;SP;São José do Rio Pardo;3549706;Biogás - RA;Rural;PJ;Minigeracao;200,00;;-21,56;-46,88
;JOSE FLAVIO NETO;SP;Mococa;3530508;Biogás - RA;Rural;PJ;Microgeracao;74,40;;-21,53;-47,01
;CLARO S/A;SP;São Paulo;3550308;Biogás - RU;Comercial;PJ;Minigeracao;4950,00;;-23,64;-46,42
;ELAINE DE FATIMA DIEHL MARCIO ME;SP;Piracicaba;3538709;Biogás - RA;Rural;PJ;Microgeracao;74,25;;-22,79;-47,72
;TEREOS ACUCAR E ENERGIA BRASIL S.A.;SP;Olímpia;3533908;Biogás - RA;Industrial;PJ;Minigeracao;464,00;;-20,70;-49,10
;ARUALDO BALLONI;SP;Limeira;3526902;Biogás - RA;Rural;PJ;Microgeracao;69,00;;-22,67;-47,41
;FENIX COLINA PARTICIPACOES E EMPREENDIMENTOS LTDA.;SP;Colina;3512001;Biogás - RA;Rural;PJ;Microgeracao;53,76;;-20,73;-48,60
;CONSORCIO RZ SP IV;SP;Narandiba;3532207;Biogás-AGR;Comercial;PJ;Minigeracao;4971,68;;-22,56;-51,54
;PAULO PEREIRA RANGEL FILHO;SP;Bauru;3506003;Biogás - RA;Rural;PJ;Microgeracao;53,76;;-22,33;-49,07
;FLAVIO VERONEZ E OUTROS;SP;Rafard;3542107;Biogás - RA;Rural;PJ;Microgeracao;60,72;;-23,04;-47,59
;REVITA ENGENHARIA SA;SP;Quatá;3541703;Biogás - RU;Comercial;PJ;Minigeracao;1000,00;;-22,18;-50,70
;ARUALDO BALLONI;SP;Limeira;3526902;Biogás - RA;Rural;PJ;Microgeracao;42,75;;-22,67;-47,41
;RENATO MAURICIO DE PAULA E OUTROS;SP;Franca;3516200;Biogás - RA;Rural;PJ;Minigeracao;336,00;;-20,46;-47,39
;13.228.387/0001-80;SP;Cordeirópolis;3512407;Biogás - RA;Rural;PJ;Microgeracao;69,00;;-22,45;-47,44
;MUNICIPIO DE SAO JOSE DOS CAMPOS;SP;São José dos Campos;3549904;Biogás - RU;Comercial;PJ;Minigeracao;1560,00;;-23,25;-45,86
;FIGUEIRA INDUSTRIA E COMERCIO DE ALIMENTOS LTDA;SP;Paraguaçu Paulista;3535507;Biogás - Floresta;Industrial;PJ;Minigeracao;460,00;;-22,43;-50,56
;CONDOMINIO RESIDENCIAL ARTS GARDEN N N;SP;Mogi das Cruzes;3530607;Biogás - RU;Comercial;PJ;Microgeracao;23,70;;-23,52;-46,18
;CONDOMINIO RESIDENCIAL ARTS GARDEN N N;SP;Mogi das Cruzes;3530607;Biogás - RU;Comercial;PJ;Microgeracao;28,44;;-23,52;-46,18
;CRI GEO BIOGAS S.A;SP;Elias Fausto;3514908;Biogás - RA;Comercial;PJ;Minigeracao;1143,20;;-24,93;-48,60
;LUIZ ANTONIO RODRIGUES;SP;Gália;3516606;Biogás - RA;Residencial;PJ;Microgeracao;69,00;;-22,32;-49,56
;FARINHEIRA VO JORGE LTDA;SP;Indiana;3520608;Biogás - RA;Industrial;PJ;Minigeracao;250,00;;-22,14;-51,25
;CORPUS SANEAMENTO E OBRAS LTDA;SP;Indaiatuba;3520509;Biogás - RU;Comercial;PJ;Minigeracao;199,84;;-23,10;-47,45
;SOLAR SANTANA DO PARNAIBA SPE LTDA;SP;Andradina;3502101;Biogás-AGR;Industrial;PJ;Minigeracao;300,00;;-20,87;-51,35
;***;TO;Palmeiras do Tocantins;1713809;Biogás-AGR;Rural;PF;Minigeracao;85,00;;-6,61;-47,54
